pdf_name,label_key,year,type,forecast_year,horizon,pred_value,realized_value,error
spa_2010_juni_spa,verg landsframleidsla,2010,forecast,2010,0,-0.1,-0.4,0.30000000000000004
spa_2010_juni_spa,verg landsframleidsla,2011,extrapolation,2010,1,3.4,2.7,0.6999999999999997
spa_2010_juni_spa,verg landsframleidsla,2012,extrapolation,2010,2,4.4,2.4,2.0000000000000004
spa_2010_juni_spa,verg landsframleidsla,2013,extrapolation,2010,3,3.0,0.8,2.2
spa_2010_juni_spa,verg landsframleidsla,2014,extrapolation,2010,4,2.5,3.1,-0.6000000000000001
spa_2010_juni_spa,verg landsframleidsla,2015,extrapolation,2010,5,2.7,4.3,-1.5999999999999996
spa_2010_juni_spa,samneysla,2010,forecast,2010,0,-3.8,-3.4,-0.3999999999999999
spa_2010_juni_spa,samneysla,2011,extrapolation,2010,1,-3.8,-0.9,-2.9
spa_2010_juni_spa,samneysla,2012,extrapolation,2010,2,-1.8,-1.4,-0.40000000000000013
spa_2010_juni_spa,samneysla,2013,extrapolation,2010,3,-0.4,0.8,-1.2000000000000002
spa_2010_juni_spa,samneysla,2014,extrapolation,2010,4,2.0,1.8,0.19999999999999996
spa_2010_juni_spa,samneysla,2015,extrapolation,2010,5,2.7,1.0,1.7000000000000002
spa_2010_juni_spa,fjarmunamyndun,2010,forecast,2010,0,-14.5,-8.0,-6.5
spa_2010_juni_spa,fjarmunamyndun,2011,extrapolation,2010,1,25.2,12.8,12.399999999999999
spa_2010_juni_spa,fjarmunamyndun,2012,extrapolation,2010,2,18.0,5.0,13.0
spa_2010_juni_spa,fjarmunamyndun,2013,extrapolation,2010,3,0.2,-2.2,2.4000000000000004
spa_2010_juni_spa,fjarmunamyndun,2014,extrapolation,2010,4,1.9,15.4,-13.5
spa_2010_juni_spa,fjarmunamyndun,2015,extrapolation,2010,5,7.8,18.2,-10.399999999999999
spa_2010_juni_spa,atvinnuvegafjarfesting,2010,forecast,2010,0,-2.7,-0.1,-2.6
spa_2010_juni_spa,atvinnuvegafjarfesting,2011,extrapolation,2010,1,44.9,25.1,19.799999999999997
spa_2010_juni_spa,atvinnuvegafjarfesting,2012,extrapolation,2010,2,20.6,7.8,12.8
spa_2010_juni_spa,atvinnuvegafjarfesting,2013,extrapolation,2010,3,-3.3,-8.6,5.3
spa_2010_juni_spa,atvinnuvegafjarfesting,2014,extrapolation,2010,4,-5.7,16.3,-22.0
spa_2010_juni_spa,atvinnuvegafjarfesting,2015,extrapolation,2010,5,0.9,29.4,-28.5
spa_2010_juni_spa,fjarfesting i ibudarhusnaedi,2010,forecast,2010,0,-27.8,-17.6,-10.2
spa_2010_juni_spa,fjarfesting i ibudarhusnaedi,2011,extrapolation,2010,1,9.1,8.6,0.5
spa_2010_juni_spa,fjarfesting i ibudarhusnaedi,2012,extrapolation,2010,2,21.6,6.9,14.700000000000001
spa_2010_juni_spa,fjarfesting i ibudarhusnaedi,2013,extrapolation,2010,3,19.5,10.8,8.7
spa_2010_juni_spa,fjarfesting i ibudarhusnaedi,2014,extrapolation,2010,4,18.7,14.8,3.8999999999999986
spa_2010_juni_spa,fjarfesting i ibudarhusnaedi,2015,extrapolation,2010,5,17.6,-3.1,20.700000000000003
spa_2010_juni_spa,fjarfesting hins opinbera,2010,forecast,2010,0,-30.2,-19.3,-10.899999999999999
spa_2010_juni_spa,fjarfesting hins opinbera,2011,extrapolation,2010,1,-23.5,-19.3,-4.199999999999999
spa_2010_juni_spa,fjarfesting hins opinbera,2012,extrapolation,2010,2,-0.9,-9.1,8.2
spa_2010_juni_spa,fjarfesting hins opinbera,2013,extrapolation,2010,3,-0.6,12.5,-13.1
spa_2010_juni_spa,fjarfesting hins opinbera,2014,extrapolation,2010,4,27.4,12.8,14.599999999999998
spa_2010_juni_spa,fjarfesting hins opinbera,2015,extrapolation,2010,5,29.0,-2.9,31.9
spa_2010_juni_spa,thjodarutgjold alls,2010,forecast,2010,0,-3.3,-2.7,-0.5999999999999996
spa_2010_juni_spa,thjodarutgjold alls,2011,extrapolation,2010,1,4.0,3.8,0.20000000000000018
spa_2010_juni_spa,thjodarutgjold alls,2012,extrapolation,2010,2,5.0,1.6,3.4
spa_2010_juni_spa,thjodarutgjold alls,2013,extrapolation,2010,3,1.7,-0.3,2.0
spa_2010_juni_spa,thjodarutgjold alls,2014,extrapolation,2010,4,2.3,5.2,-2.9000000000000004
