year,indicator_is,indicator_en,value,unit,table_id,source_pdf_file,notes
2000.0,Einkaneysla,Private final consumption,389061.0,,Tafla 1,spa_2003_landsframleidsla_2003.pdf,
2001.0,Einkaneysla,Private final consumption,407733.0,,Tafla 1,spa_2003_landsframleidsla_2003.pdf,
2002.0,Einkaneysla,Private final consumption,418778.0,,Tafla 1,spa_2003_landsframleidsla_2003.pdf,
2003.0,Einkaneysla,Private final consumption,358731.0,,Tafla 1,spa_2003_landsframleidsla_2003.pdf,
2000.0,Samneysla,Government final consumption,157934.0,,Tafla 1,spa_2003_landsframleidsla_2003.pdf,
2001.0,Samneysla,Government final consumption,176656.0,,Tafla 1,spa_2003_landsframleidsla_2003.pdf,
2002.0,Samneysla,Government final consumption,198410.0,,Tafla 1,spa_2003_landsframleidsla_2003.pdf,
2003.0,Samneysla,Government final consumption,142430.0,,Tafla 1,spa_2003_landsframleidsla_2003.pdf,
2000.0,Fjármunamyndun,Gross fixed capital formation,159436.0,,Tafla 1,spa_2003_landsframleidsla_2003.pdf,
2001.0,Fjármunamyndun,Gross fixed capital formation,165471.0,,Tafla 1,spa_2003_landsframleidsla_2003.pdf,
2002.0,Fjármunamyndun,Gross fixed capital formation,145567.0,,Tafla 1,spa_2003_landsframleidsla_2003.pdf,
2003.0,Fjármunamyndun,Gross fixed capital formation,137493.0,,Tafla 1,spa_2003_landsframleidsla_2003.pdf,
2000.0,Atvinnuvegafjárfesting,Business investment,,,Tafla 1,spa_2003_landsframleidsla_2003.pdf,filled-missing
2001.0,Atvinnuvegafjárfesting,Business investment,,,Tafla 1,spa_2003_landsframleidsla_2003.pdf,filled-missing
2002.0,Atvinnuvegafjárfesting,Business investment,,,Tafla 1,spa_2003_landsframleidsla_2003.pdf,filled-missing
2003.0,Atvinnuvegafjárfesting,Business investment,,,Tafla 1,spa_2003_landsframleidsla_2003.pdf,filled-missing
2000.0,Fjárfesting í íbúðarhúsnæði,Housing investment,,,Tafla 1,spa_2003_landsframleidsla_2003.pdf,filled-missing
2001.0,Fjárfesting í íbúðarhúsnæði,Housing investment,,,Tafla 1,spa_2003_landsframleidsla_2003.pdf,filled-missing
2002.0,Fjárfesting í íbúðarhúsnæði,Housing investment,,,Tafla 1,spa_2003_landsframleidsla_2003.pdf,filled-missing
2003.0,Fjárfesting í íbúðarhúsnæði,Housing investment,,,Tafla 1,spa_2003_landsframleidsla_2003.pdf,filled-missing
2000.0,Fjárfesting hins opinbera,Public investment,,,Tafla 1,spa_2003_landsframleidsla_2003.pdf,filled-missing
2001.0,Fjárfesting hins opinbera,Public investment,,,Tafla 1,spa_2003_landsframleidsla_2003.pdf,filled-missing
2002.0,Fjárfesting hins opinbera,Public investment,,,Tafla 1,spa_2003_landsframleidsla_2003.pdf,filled-missing
2003.0,Fjárfesting hins opinbera,Public investment,,,Tafla 1,spa_2003_landsframleidsla_2003.pdf,filled-missing
2000.0,Þjóðarútgjöld alls,National final expenditure,708925.0,,Tafla 1,spa_2003_landsframleidsla_2003.pdf,
2001.0,Þjóðarútgjöld alls,National final expenditure,747775.0,,Tafla 1,spa_2003_landsframleidsla_2003.pdf,
2002.0,Þjóðarútgjöld alls,National final expenditure,762573.0,,Tafla 1,spa_2003_landsframleidsla_2003.pdf,
