source_pdf_file,target_year,table_year,status,indicator_is,indicator_en,unit,value_type,value
spa_2003_landsframleidsla_2003.pdf,2003,1998,historical,Einkaneysla,Private final consumption,,percent,325847.0
spa_2003_landsframleidsla_2003.pdf,2003,1999,historical,Einkaneysla,Private final consumption,,percent,358731.0
spa_2003_landsframleidsla_2003.pdf,2003,2000,historical,Einkaneysla,Private final consumption,,percent,389061.0
spa_2003_landsframleidsla_2003.pdf,2003,2001,historical,Einkaneysla,Private final consumption,,percent,407733.0
spa_2003_landsframleidsla_2003.pdf,2003,2002,historical,Einkaneysla,Private final consumption,,percent,418778.0
spa_2003_landsframleidsla_2003.pdf,2003,2003,prediction,Einkaneysla,Private final consumption,,percent,358731.0
spa_2003_landsframleidsla_2003.pdf,2003,1998,historical,Samneysla,Government final consumption,,percent,127752.0
spa_2003_landsframleidsla_2003.pdf,2003,1999,historical,Samneysla,Government final consumption,,percent,142430.0
spa_2003_landsframleidsla_2003.pdf,2003,2000,historical,Samneysla,Government final consumption,,percent,157934.0
spa_2003_landsframleidsla_2003.pdf,2003,2001,historical,Samneysla,Government final consumption,,percent,176656.0
spa_2003_landsframleidsla_2003.pdf,2003,2002,historical,Samneysla,Government final consumption,,percent,198410.0
spa_2003_landsframleidsla_2003.pdf,2003,2003,prediction,Samneysla,Government final consumption,,percent,142430.0
spa_2003_landsframleidsla_2003.pdf,2003,1998,historical,Fjármunamyndun,Gross fixed capital formation,,percent,140163.0
spa_2003_landsframleidsla_2003.pdf,2003,1999,historical,Fjármunamyndun,Gross fixed capital formation,,percent,137493.0
spa_2003_landsframleidsla_2003.pdf,2003,2000,historical,Fjármunamyndun,Gross fixed capital formation,,percent,159436.0
spa_2003_landsframleidsla_2003.pdf,2003,2001,historical,Fjármunamyndun,Gross fixed capital formation,,percent,165471.0
spa_2003_landsframleidsla_2003.pdf,2003,2002,historical,Fjármunamyndun,Gross fixed capital formation,,percent,145567.0
spa_2003_landsframleidsla_2003.pdf,2003,2003,prediction,Fjármunamyndun,Gross fixed capital formation,,percent,137493.0
spa_2003_landsframleidsla_2003.pdf,2003,1998,historical,Atvinnuvegafjárfesting,Business investment,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,1999,historical,Atvinnuvegafjárfesting,Business investment,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2000,historical,Atvinnuvegafjárfesting,Business investment,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2001,historical,Atvinnuvegafjárfesting,Business investment,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2002,historical,Atvinnuvegafjárfesting,Business investment,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2003,prediction,Atvinnuvegafjárfesting,Business investment,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,1998,historical,Fjárfesting í íbúðarhúsnæði,Housing investment,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,1999,historical,Fjárfesting í íbúðarhúsnæði,Housing investment,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2000,historical,Fjárfesting í íbúðarhúsnæði,Housing investment,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2001,historical,Fjárfesting í íbúðarhúsnæði,Housing investment,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2002,historical,Fjárfesting í íbúðarhúsnæði,Housing investment,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2003,prediction,Fjárfesting í íbúðarhúsnæði,Housing investment,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,1998,historical,Fjárfesting hins opinbera,Public investment,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,1999,historical,Fjárfesting hins opinbera,Public investment,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2000,historical,Fjárfesting hins opinbera,Public investment,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2001,historical,Fjárfesting hins opinbera,Public investment,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2002,historical,Fjárfesting hins opinbera,Public investment,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2003,prediction,Fjárfesting hins opinbera,Public investment,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,1998,historical,Þjóðarútgjöld alls,National final expenditure,,percent,594668.0
spa_2003_landsframleidsla_2003.pdf,2003,1999,historical,Þjóðarútgjöld alls,National final expenditure,,percent,638773.0
spa_2003_landsframleidsla_2003.pdf,2003,2000,historical,Þjóðarútgjöld alls,National final expenditure,,percent,708925.0
spa_2003_landsframleidsla_2003.pdf,2003,2001,historical,Þjóðarútgjöld alls,National final expenditure,,percent,747775.0
spa_2003_landsframleidsla_2003.pdf,2003,2002,historical,Þjóðarútgjöld alls,National final expenditure,,percent,762573.0
spa_2003_landsframleidsla_2003.pdf,2003,2003,prediction,Þjóðarútgjöld alls,National final expenditure,,percent,638773.0
spa_2003_landsframleidsla_2003.pdf,2003,1998,historical,Útflutningur vöru og þjónustu,Exports of goods and services,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,1999,historical,Útflutningur vöru og þjónustu,Exports of goods and services,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2000,historical,Útflutningur vöru og þjónustu,Exports of goods and services,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2001,historical,Útflutningur vöru og þjónustu,Exports of goods and services,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2002,historical,Útflutningur vöru og þjónustu,Exports of goods and services,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2003,prediction,Útflutningur vöru og þjónustu,Exports of goods and services,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,1998,historical,Innflutningur vöru og þjónustu,Import of goods and services,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,1999,historical,Innflutningur vöru og þjónustu,Import of goods and services,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2000,historical,Innflutningur vöru og þjónustu,Import of goods and services,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2001,historical,Innflutningur vöru og þjónustu,Import of goods and services,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2002,historical,Innflutningur vöru og þjónustu,Import of goods and services,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2003,prediction,Innflutningur vöru og þjónustu,Import of goods and services,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,1998,historical,Verg landsframleiðsla,Gross domestic product,,percent,568827.0
spa_2003_landsframleidsla_2003.pdf,2003,1999,historical,Verg landsframleiðsla,Gross domestic product,,percent,609457.0
spa_2003_landsframleidsla_2003.pdf,2003,2000,historical,Verg landsframleiðsla,Gross domestic product,,percent,661920.0
spa_2003_landsframleidsla_2003.pdf,2003,2001,historical,Verg landsframleiðsla,Gross domestic product,,percent,743563.0
spa_2003_landsframleidsla_2003.pdf,2003,2002,historical,Verg landsframleiðsla,Gross domestic product,,percent,778466.0
spa_2003_landsframleidsla_2003.pdf,2003,2003,prediction,Verg landsframleiðsla,Gross domestic product,,percent,609457.0
spa_2003_landsframleidsla_2003.pdf,2003,1998,historical,Vöru- og þjónustujöfnuður (% af VLF),Goods and services balance (% of GDP),,percent,
spa_2003_landsframleidsla_2003.pdf,2003,1999,historical,Vöru- og þjónustujöfnuður (% af VLF),Goods and services balance (% of GDP),,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2000,historical,Vöru- og þjónustujöfnuður (% af VLF),Goods and services balance (% of GDP),,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2001,historical,Vöru- og þjónustujöfnuður (% af VLF),Goods and services balance (% of GDP),,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2002,historical,Vöru- og þjónustujöfnuður (% af VLF),Goods and services balance (% of GDP),,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2003,prediction,Vöru- og þjónustujöfnuður (% af VLF),Goods and services balance (% of GDP),,percent,
spa_2003_landsframleidsla_2003.pdf,2003,1998,historical,Viðskiptajöfnuður (% af VLF),Current account balance (% of GDP),,percent,
spa_2003_landsframleidsla_2003.pdf,2003,1999,historical,Viðskiptajöfnuður (% af VLF),Current account balance (% of GDP),,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2000,historical,Viðskiptajöfnuður (% af VLF),Current account balance (% of GDP),,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2001,historical,Viðskiptajöfnuður (% af VLF),Current account balance (% of GDP),,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2002,historical,Viðskiptajöfnuður (% af VLF),Current account balance (% of GDP),,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2003,prediction,Viðskiptajöfnuður (% af VLF),Current account balance (% of GDP),,percent,
spa_2003_landsframleidsla_2003.pdf,2003,1998,historical,"VLF á verðlagi hvers árs, ma. kr.","Nominal GDP, billion ISK",,level_billion_isk,
spa_2003_landsframleidsla_2003.pdf,2003,1999,historical,"VLF á verðlagi hvers árs, ma. kr.","Nominal GDP, billion ISK",,level_billion_isk,
spa_2003_landsframleidsla_2003.pdf,2003,2000,historical,"VLF á verðlagi hvers árs, ma. kr.","Nominal GDP, billion ISK",,level_billion_isk,
spa_2003_landsframleidsla_2003.pdf,2003,2001,historical,"VLF á verðlagi hvers árs, ma. kr.","Nominal GDP, billion ISK",,level_billion_isk,
spa_2003_landsframleidsla_2003.pdf,2003,2002,historical,"VLF á verðlagi hvers árs, ma. kr.","Nominal GDP, billion ISK",,level_billion_isk,
spa_2003_landsframleidsla_2003.pdf,2003,2003,prediction,"VLF á verðlagi hvers árs, ma. kr.","Nominal GDP, billion ISK",,level_billion_isk,
spa_2003_landsframleidsla_2003.pdf,2003,1998,historical,Vísitala neysluverðs,Consumer price index,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,1999,historical,Vísitala neysluverðs,Consumer price index,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2000,historical,Vísitala neysluverðs,Consumer price index,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2001,historical,Vísitala neysluverðs,Consumer price index,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2002,historical,Vísitala neysluverðs,Consumer price index,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2003,prediction,Vísitala neysluverðs,Consumer price index,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,1998,historical,Gengisvísitala,Exchange rate index,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,1999,historical,Gengisvísitala,Exchange rate index,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2000,historical,Gengisvísitala,Exchange rate index,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2001,historical,Gengisvísitala,Exchange rate index,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2002,historical,Gengisvísitala,Exchange rate index,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2003,prediction,Gengisvísitala,Exchange rate index,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,1998,historical,Raungengi,Real exchange rate,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,1999,historical,Raungengi,Real exchange rate,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2000,historical,Raungengi,Real exchange rate,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2001,historical,Raungengi,Real exchange rate,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2002,historical,Raungengi,Real exchange rate,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2003,prediction,Raungengi,Real exchange rate,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,1998,historical,Launavísitala m.v. fast verðlag,Real wage rate index,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,1999,historical,Launavísitala m.v. fast verðlag,Real wage rate index,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2000,historical,Launavísitala m.v. fast verðlag,Real wage rate index,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2001,historical,Launavísitala m.v. fast verðlag,Real wage rate index,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2002,historical,Launavísitala m.v. fast verðlag,Real wage rate index,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2003,prediction,Launavísitala m.v. fast verðlag,Real wage rate index,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,1998,historical,Hagvöxtur í helstu viðskiptalöndum,GDP growth in main trading partners,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,1999,historical,Hagvöxtur í helstu viðskiptalöndum,GDP growth in main trading partners,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2000,historical,Hagvöxtur í helstu viðskiptalöndum,GDP growth in main trading partners,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2001,historical,Hagvöxtur í helstu viðskiptalöndum,GDP growth in main trading partners,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2002,historical,Hagvöxtur í helstu viðskiptalöndum,GDP growth in main trading partners,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2003,prediction,Hagvöxtur í helstu viðskiptalöndum,GDP growth in main trading partners,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,1998,historical,Alþjóðleg verðbólga,World CPI inflation,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,1999,historical,Alþjóðleg verðbólga,World CPI inflation,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2000,historical,Alþjóðleg verðbólga,World CPI inflation,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2001,historical,Alþjóðleg verðbólga,World CPI inflation,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2002,historical,Alþjóðleg verðbólga,World CPI inflation,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2003,prediction,Alþjóðleg verðbólga,World CPI inflation,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,1998,historical,Verð útflutts áls,Export price of aluminum,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,1999,historical,Verð útflutts áls,Export price of aluminum,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2000,historical,Verð útflutts áls,Export price of aluminum,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2001,historical,Verð útflutts áls,Export price of aluminum,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2002,historical,Verð útflutts áls,Export price of aluminum,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2003,prediction,Verð útflutts áls,Export price of aluminum,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,1998,historical,Olíuverð,Oil price,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,1999,historical,Olíuverð,Oil price,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2000,historical,Olíuverð,Oil price,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2001,historical,Olíuverð,Oil price,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2002,historical,Olíuverð,Oil price,,percent,
spa_2003_landsframleidsla_2003.pdf,2003,2003,prediction,Olíuverð,Oil price,,percent,
