pdf_name,label_key,year,value,type
spa_2009_landsframleidsla_2009,verg landsframleidsla,2004,530.672,history
spa_2009_landsframleidsla_2009,verg landsframleidsla,2005,609.359,history
spa_2009_landsframleidsla_2009,verg landsframleidsla,2006,679.918,history
spa_2009_landsframleidsla_2009,verg landsframleidsla,2007,751.598,history
spa_2009_landsframleidsla_2009,verg landsframleidsla,2008,789.537,history
spa_2009_landsframleidsla_2009,verg landsframleidsla,2009,774.573,forecast
spa_2009_landsframleidsla_2009,samneysla,2004,232.962,history
spa_2009_landsframleidsla_2009,samneysla,2005,252.617,history
spa_2009_landsframleidsla_2009,samneysla,2006,285.371,history
spa_2009_landsframleidsla_2009,samneysla,2007,316.828,history
spa_2009_landsframleidsla_2009,samneysla,2008,367.309,history
spa_2009_landsframleidsla_2009,samneysla,2009,391.561,forecast
spa_2009_landsframleidsla_2009,fjarmunamyndun,2004,218.477,history
spa_2009_landsframleidsla_2009,fjarmunamyndun,2005,291.395,history
spa_2009_landsframleidsla_2009,fjarmunamyndun,2006,397.631,history
spa_2009_landsframleidsla_2009,fjarmunamyndun,2007,373.048,history
spa_2009_landsframleidsla_2009,fjarmunamyndun,2008,359.637,history
spa_2009_landsframleidsla_2009,fjarmunamyndun,2009,211.831,forecast
spa_2009_landsframleidsla_2009,fjarfesting hins opinbera,2004,-918.0,history
spa_2009_landsframleidsla_2009,fjarfesting hins opinbera,2005,-862.0,history
spa_2009_landsframleidsla_2009,fjarfesting hins opinbera,2006,13.498,history
spa_2009_landsframleidsla_2009,fjarfesting hins opinbera,2007,6.626,history
spa_2009_landsframleidsla_2009,fjarfesting hins opinbera,2008,3.255,history
spa_2009_landsframleidsla_2009,fjarfesting hins opinbera,2009,1.853,forecast
spa_2009_landsframleidsla_2009,utflutningur voru og thjonustu,2004,316.903,history
spa_2009_landsframleidsla_2009,utflutningur voru og thjonustu,2005,325.51,history
spa_2009_landsframleidsla_2009,utflutningur voru og thjonustu,2006,376.781,history
spa_2009_landsframleidsla_2009,utflutningur voru og thjonustu,2007,453.349,history
spa_2009_landsframleidsla_2009,utflutningur voru og thjonustu,2008,657.84,history
spa_2009_landsframleidsla_2009,utflutningur voru og thjonustu,2009,784.074,forecast
spa_2009_landsframleidsla_2009,innflutningur voru og thjonustu,2004,369.208,history
spa_2009_landsframleidsla_2009,innflutningur voru og thjonustu,2005,451.3,history
spa_2009_landsframleidsla_2009,innflutningur voru og thjonustu,2006,584.622,history
spa_2009_landsframleidsla_2009,innflutningur voru og thjonustu,2007,592.932,history
spa_2009_landsframleidsla_2009,innflutningur voru og thjonustu,2008,699.931,history
spa_2009_landsframleidsla_2009,innflutningur voru og thjonustu,2009,663.731,forecast
spa_2009_landsframleidsla_2009,vidskiptajofnudur,2004,-90.049,history
spa_2009_landsframleidsla_2009,vidskiptajofnudur,2005,-162.745,history
spa_2009_landsframleidsla_2009,vidskiptajofnudur,2006,-282.979,history
