pdf_name,label_key,year,value,type
spa_2011_april_spa,verg landsframleidsla,2010,-0.2,history
spa_2011_april_spa,verg landsframleidsla,2011,2.6,forecast
spa_2011_april_spa,verg landsframleidsla,2012,2.9,extrapolation
spa_2011_april_spa,verg landsframleidsla,2013,3.6,extrapolation
spa_2011_april_spa,verg landsframleidsla,2014,3.5,extrapolation
spa_2011_april_spa,verg landsframleidsla,2015,3.0,extrapolation
spa_2011_april_spa,verg landsframleidsla,2016,2.6,extrapolation
spa_2011_april_spa,samneysla,2010,-3.2,history
spa_2011_april_spa,samneysla,2011,-4.0,forecast
spa_2011_april_spa,samneysla,2012,-1.8,extrapolation
spa_2011_april_spa,samneysla,2013,-0.1,extrapolation
spa_2011_april_spa,samneysla,2014,1.3,extrapolation
spa_2011_april_spa,samneysla,2015,1.8,extrapolation
spa_2011_april_spa,samneysla,2016,2.4,extrapolation
spa_2011_april_spa,fjarmunamyndun,2010,-8.1,history
spa_2011_april_spa,fjarmunamyndun,2011,16.6,forecast
spa_2011_april_spa,fjarmunamyndun,2012,18.6,extrapolation
spa_2011_april_spa,fjarmunamyndun,2013,9.3,extrapolation
spa_2011_april_spa,fjarmunamyndun,2014,2.3,extrapolation
spa_2011_april_spa,fjarmunamyndun,2015,3.1,extrapolation
spa_2011_april_spa,fjarmunamyndun,2016,4.5,extrapolation
spa_2011_april_spa,atvinnuvegafjarfesting,2010,0.9,history
spa_2011_april_spa,atvinnuvegafjarfesting,2011,28.1,forecast
spa_2011_april_spa,atvinnuvegafjarfesting,2012,23.8,extrapolation
spa_2011_april_spa,atvinnuvegafjarfesting,2013,8.8,extrapolation
spa_2011_april_spa,atvinnuvegafjarfesting,2014,-3.2,extrapolation
spa_2011_april_spa,atvinnuvegafjarfesting,2015,-1.5,extrapolation
spa_2011_april_spa,atvinnuvegafjarfesting,2016,1.5,extrapolation
spa_2011_april_spa,fjarfesting i ibudarhusnaedi,2010,-17.0,history
spa_2011_april_spa,fjarfesting i ibudarhusnaedi,2011,16.8,forecast
spa_2011_april_spa,fjarfesting i ibudarhusnaedi,2012,23.6,extrapolation
spa_2011_april_spa,fjarfesting i ibudarhusnaedi,2013,16.6,extrapolation
spa_2011_april_spa,fjarfesting i ibudarhusnaedi,2014,19.5,extrapolation
spa_2011_april_spa,fjarfesting i ibudarhusnaedi,2015,11.1,extrapolation
spa_2011_april_spa,fjarfesting i ibudarhusnaedi,2016,7.9,extrapolation
spa_2011_april_spa,fjarfesting hins opinbera,2010,-22.4,history
spa_2011_april_spa,fjarfesting hins opinbera,2011,-19.7,forecast
spa_2011_april_spa,fjarfesting hins opinbera,2012,-13.2,extrapolation
spa_2011_april_spa,fjarfesting hins opinbera,2013,0.0,extrapolation
spa_2011_april_spa,fjarfesting hins opinbera,2014,9.8,extrapolation
spa_2011_april_spa,fjarfesting hins opinbera,2015,16.7,extrapolation
spa_2011_april_spa,fjarfesting hins opinbera,2016,14.7,extrapolation
spa_2011_april_spa,thjodarutgjold alls,2010,-2.5,history
spa_2011_april_spa,thjodarutgjold alls,2011,2.9,forecast
spa_2011_april_spa,thjodarutgjold alls,2012,4.3,extrapolation
spa_2011_april_spa,thjodarutgjold alls,2013,3.7,extrapolation
spa_2011_april_spa,thjodarutgjold alls,2014,2.7,extrapolation
spa_2011_april_spa,thjodarutgjold alls,2015,2.7,extrapolation
spa_2011_april_spa,thjodarutgjold alls,2016,2.9,extrapolation
spa_2011_april_spa,utflutningur voru og thjonustu,2010,1.1,history
