pdf_name,label_key,year,value,type
spa_2013_april_vor,einkaneysla,2012,2.7,history
spa_2013_april_vor,einkaneysla,2013,2.5,forecast
spa_2013_april_vor,einkaneysla,2014,3.0,extrapolation
spa_2013_april_vor,einkaneysla,2015,3.2,extrapolation
spa_2013_april_vor,einkaneysla,2016,3.0,extrapolation
spa_2013_april_vor,einkaneysla,2017,3.3,extrapolation
spa_2013_april_vor,einkaneysla,2018,3.0,extrapolation
spa_2013_april_vor,samneysla,2012,-0.2,history
spa_2013_april_vor,samneysla,2013,0.2,forecast
spa_2013_april_vor,samneysla,2014,0.0,extrapolation
spa_2013_april_vor,samneysla,2015,0.6,extrapolation
spa_2013_april_vor,samneysla,2016,1.3,extrapolation
spa_2013_april_vor,samneysla,2017,1.5,extrapolation
spa_2013_april_vor,samneysla,2018,1.7,extrapolation
spa_2013_april_vor,fjarmunamyndun,2012,4.4,history
spa_2013_april_vor,fjarmunamyndun,2013,-2.3,forecast
spa_2013_april_vor,fjarmunamyndun,2014,16.9,extrapolation
spa_2013_april_vor,fjarmunamyndun,2015,14.3,extrapolation
spa_2013_april_vor,fjarmunamyndun,2016,-3.6,extrapolation
spa_2013_april_vor,fjarmunamyndun,2017,8.0,extrapolation
spa_2013_april_vor,fjarmunamyndun,2018,5.4,extrapolation
spa_2013_april_vor,atvinnuvegafjarfesting,2012,8.6,history
spa_2013_april_vor,atvinnuvegafjarfesting,2013,-10.5,forecast
spa_2013_april_vor,atvinnuvegafjarfesting,2014,18.9,extrapolation
spa_2013_april_vor,atvinnuvegafjarfesting,2015,14.4,extrapolation
spa_2013_april_vor,atvinnuvegafjarfesting,2016,-12.4,extrapolation
spa_2013_april_vor,atvinnuvegafjarfesting,2017,5.7,extrapolation
spa_2013_april_vor,atvinnuvegafjarfesting,2018,3.9,extrapolation
spa_2013_april_vor,fjarfesting i ibudarhusnaedi,2012,6.9,history
spa_2013_april_vor,fjarfesting i ibudarhusnaedi,2013,14.8,forecast
spa_2013_april_vor,fjarfesting i ibudarhusnaedi,2014,22.2,extrapolation
spa_2013_april_vor,fjarfesting i ibudarhusnaedi,2015,18.1,extrapolation
spa_2013_april_vor,fjarfesting i ibudarhusnaedi,2016,15.8,extrapolation
spa_2013_april_vor,fjarfesting i ibudarhusnaedi,2017,12.2,extrapolation
spa_2013_april_vor,fjarfesting i ibudarhusnaedi,2018,7.1,extrapolation
spa_2013_april_vor,fjarfesting hins opinbera,2012,-17.0,history
spa_2013_april_vor,fjarfesting hins opinbera,2013,19.8,forecast
spa_2013_april_vor,fjarfesting hins opinbera,2014,0.7,extrapolation
spa_2013_april_vor,fjarfesting hins opinbera,2015,7.2,extrapolation
spa_2013_april_vor,fjarfesting hins opinbera,2016,13.4,extrapolation
spa_2013_april_vor,fjarfesting hins opinbera,2017,11.0,extrapolation
spa_2013_april_vor,fjarfesting hins opinbera,2018,8.8,extrapolation
