pdf_name,label_key,year,value,type
spa_2014_juli_sumar,einkaneysla,2013,1.2,history
spa_2014_juli_sumar,einkaneysla,2014,3.9,forecast
spa_2014_juli_sumar,einkaneysla,2015,3.7,extrapolation
spa_2014_juli_sumar,einkaneysla,2016,2.8,extrapolation
spa_2014_juli_sumar,einkaneysla,2017,3.0,extrapolation
spa_2014_juli_sumar,einkaneysla,2018,3.0,extrapolation
spa_2014_juli_sumar,samneysla,2013,1.3,history
spa_2014_juli_sumar,samneysla,2014,1.2,forecast
spa_2014_juli_sumar,samneysla,2015,0.5,extrapolation
spa_2014_juli_sumar,samneysla,2016,1.7,extrapolation
spa_2014_juli_sumar,samneysla,2017,1.9,extrapolation
spa_2014_juli_sumar,samneysla,2018,1.8,extrapolation
spa_2014_juli_sumar,fjarmunamyndun,2013,-3.4,history
spa_2014_juli_sumar,fjarmunamyndun,2014,16.9,forecast
spa_2014_juli_sumar,fjarmunamyndun,2015,15.7,extrapolation
spa_2014_juli_sumar,fjarmunamyndun,2016,12.5,extrapolation
spa_2014_juli_sumar,fjarmunamyndun,2017,0.3,extrapolation
spa_2014_juli_sumar,fjarmunamyndun,2018,5.0,extrapolation
spa_2014_juli_sumar,atvinnuvegafjarfesting,2013,-10.2,history
spa_2014_juli_sumar,atvinnuvegafjarfesting,2014,18.3,forecast
spa_2014_juli_sumar,atvinnuvegafjarfesting,2015,17.1,extrapolation
spa_2014_juli_sumar,atvinnuvegafjarfesting,2016,13.8,extrapolation
spa_2014_juli_sumar,atvinnuvegafjarfesting,2017,-2.7,extrapolation
spa_2014_juli_sumar,atvinnuvegafjarfesting,2018,3.2,extrapolation
spa_2014_juli_sumar,fjarfesting i ibudarhusnaedi,2013,10.8,history
spa_2014_juli_sumar,fjarfesting i ibudarhusnaedi,2014,24.1,forecast
spa_2014_juli_sumar,fjarfesting i ibudarhusnaedi,2015,20.3,extrapolation
spa_2014_juli_sumar,fjarfesting i ibudarhusnaedi,2016,15.5,extrapolation
spa_2014_juli_sumar,fjarfesting i ibudarhusnaedi,2017,10.8,extrapolation
spa_2014_juli_sumar,fjarfesting i ibudarhusnaedi,2018,9.0,extrapolation
spa_2014_juli_sumar,fjarfesting hins opinbera,2013,11.7,history
spa_2014_juli_sumar,fjarfesting hins opinbera,2014,3.0,forecast
spa_2014_juli_sumar,fjarfesting hins opinbera,2015,1.5,extrapolation
spa_2014_juli_sumar,fjarfesting hins opinbera,2016,-0.4,extrapolation
spa_2014_juli_sumar,fjarfesting hins opinbera,2017,-0.6,extrapolation
spa_2014_juli_sumar,fjarfesting hins opinbera,2018,7.4,extrapolation
spa_2014_juli_sumar,thjodarutgjold alls,2013,0.1,history
spa_2014_juli_sumar,thjodarutgjold alls,2014,5.2,forecast
spa_2014_juli_sumar,thjodarutgjold alls,2015,4.8,extrapolation
spa_2014_juli_sumar,thjodarutgjold alls,2016,4.3,extrapolation
spa_2014_juli_sumar,thjodarutgjold alls,2017,2.2,extrapolation
spa_2014_juli_sumar,thjodarutgjold alls,2018,3.0,extrapolation
spa_2014_juli_sumar,utflutningur voru og thjonustu,2013,5.3,history
spa_2014_juli_sumar,utflutningur voru og thjonustu,2014,3.5,forecast
spa_2014_juli_sumar,utflutningur voru og thjonustu,2015,3.5,extrapolation
spa_2014_juli_sumar,utflutningur voru og thjonustu,2016,2.8,extrapolation
spa_2014_juli_sumar,utflutningur voru og thjonustu,2017,3.2,extrapolation
spa_2014_juli_sumar,utflutningur voru og thjonustu,2018,3.1,extrapolation
spa_2014_juli_sumar,innflutningur voru og thjonustu,2013,-0.1,history
spa_2014_juli_sumar,innflutningur voru og thjonustu,2014,7.5,forecast
spa_2014_juli_sumar,innflutningur voru og thjonustu,2015,6.1,extrapolation
spa_2014_juli_sumar,innflutningur voru og thjonustu,2016,5.2,extrapolation
spa_2014_juli_sumar,innflutningur voru og thjonustu,2017,2.2,extrapolation
spa_2014_juli_sumar,innflutningur voru og thjonustu,2018,3.3,extrapolation
spa_2014_juli_sumar,verg landsframleidsla,2013,3.3,history
spa_2014_juli_sumar,verg landsframleidsla,2014,3.1,forecast
spa_2014_juli_sumar,verg landsframleidsla,2015,3.4,extrapolation
spa_2014_juli_sumar,verg landsframleidsla,2016,2.9,extrapolation
spa_2014_juli_sumar,verg landsframleidsla,2017,2.8,extrapolation
spa_2014_juli_sumar,verg landsframleidsla,2018,2.9,extrapolation
spa_2014_juli_sumar,voru- og thjonustujofnudur,2013,7.4,history
spa_2014_juli_sumar,voru- og thjonustujofnudur,2014,5.6,forecast
spa_2014_juli_sumar,voru- og thjonustujofnudur,2015,4.6,extrapolation
spa_2014_juli_sumar,voru- og thjonustujofnudur,2016,3.4,extrapolation
spa_2014_juli_sumar,voru- og thjonustujofnudur,2017,3.9,extrapolation
spa_2014_juli_sumar,voru- og thjonustujofnudur,2018,3.8,extrapolation
spa_2014_juli_sumar,vidskiptajofnudur,2013,3.9,history
spa_2014_juli_sumar,vidskiptajofnudur,2014,0.6,forecast
spa_2014_juli_sumar,vidskiptajofnudur,2015,-0.8,extrapolation
spa_2014_juli_sumar,vidskiptajofnudur,2016,-1.9,extrapolation
spa_2014_juli_sumar,vidskiptajofnudur,2017,-1.1,extrapolation
spa_2014_juli_sumar,vidskiptajofnudur,2018,-0.9,extrapolation
spa_2014_juli_sumar,vidskiptajofnudur,2013,6.2,history
spa_2014_juli_sumar,vidskiptajofnudur,2014,1.5,forecast
spa_2014_juli_sumar,vidskiptajofnudur,2015,-0.8,extrapolation
spa_2014_juli_sumar,vidskiptajofnudur,2016,-1.9,extrapolation
spa_2014_juli_sumar,vidskiptajofnudur,2017,-1.1,extrapolation
spa_2014_juli_sumar,vidskiptajofnudur,2018,-0.9,extrapolation
spa_2014_juli_sumar,visitala neysluverds,2013,3.9,history
spa_2014_juli_sumar,visitala neysluverds,2014,2.5,forecast
spa_2014_juli_sumar,visitala neysluverds,2015,3.4,extrapolation
spa_2014_juli_sumar,visitala neysluverds,2016,3.2,extrapolation
spa_2014_juli_sumar,visitala neysluverds,2017,2.8,extrapolation
spa_2014_juli_sumar,visitala neysluverds,2018,2.6,extrapolation
