pdf_name,label_key,year,value,type
spa_2016_mai_sumar,einkaneysla,2015,4.8,history
spa_2016_mai_sumar,einkaneysla,2016,6.0,forecast
spa_2016_mai_sumar,einkaneysla,2017,4.8,extrapolation
spa_2016_mai_sumar,einkaneysla,2018,3.6,extrapolation
spa_2016_mai_sumar,einkaneysla,2019,2.9,extrapolation
spa_2016_mai_sumar,einkaneysla,2020,2.7,extrapolation
spa_2016_mai_sumar,einkaneysla,2021,2.5,extrapolation
spa_2016_mai_sumar,samneysla,2015,1.1,history
spa_2016_mai_sumar,samneysla,2016,1.1,forecast
spa_2016_mai_sumar,samneysla,2017,1.0,extrapolation
spa_2016_mai_sumar,samneysla,2018,1.5,extrapolation
spa_2016_mai_sumar,samneysla,2019,1.8,extrapolation
spa_2016_mai_sumar,samneysla,2020,1.8,extrapolation
spa_2016_mai_sumar,samneysla,2021,1.6,extrapolation
spa_2016_mai_sumar,fjarmunamyndun,2015,18.6,history
spa_2016_mai_sumar,fjarmunamyndun,2016,16.0,forecast
spa_2016_mai_sumar,fjarmunamyndun,2017,6.4,extrapolation
spa_2016_mai_sumar,fjarmunamyndun,2018,1.9,extrapolation
spa_2016_mai_sumar,fjarmunamyndun,2019,3.0,extrapolation
spa_2016_mai_sumar,fjarmunamyndun,2020,3.9,extrapolation
spa_2016_mai_sumar,fjarmunamyndun,2021,4.0,extrapolation
spa_2016_mai_sumar,atvinnuvegafjarfesting,2015,29.5,history
spa_2016_mai_sumar,atvinnuvegafjarfesting,2016,21.4,forecast
spa_2016_mai_sumar,atvinnuvegafjarfesting,2017,4.6,extrapolation
spa_2016_mai_sumar,atvinnuvegafjarfesting,2018,-1.2,extrapolation
spa_2016_mai_sumar,atvinnuvegafjarfesting,2019,0.5,extrapolation
spa_2016_mai_sumar,atvinnuvegafjarfesting,2020,3.4,extrapolation
spa_2016_mai_sumar,atvinnuvegafjarfesting,2021,3.8,extrapolation
spa_2016_mai_sumar,fjarfesting i ibudarhusnaedi,2015,-3.1,history
spa_2016_mai_sumar,fjarfesting i ibudarhusnaedi,2016,11.1,forecast
spa_2016_mai_sumar,fjarfesting i ibudarhusnaedi,2017,18.1,extrapolation
spa_2016_mai_sumar,fjarfesting i ibudarhusnaedi,2018,16.2,extrapolation
spa_2016_mai_sumar,fjarfesting i ibudarhusnaedi,2019,9.0,extrapolation
spa_2016_mai_sumar,fjarfesting i ibudarhusnaedi,2020,6.0,extrapolation
spa_2016_mai_sumar,fjarfesting i ibudarhusnaedi,2021,5.7,extrapolation
spa_2016_mai_sumar,fjarfesting hins opinbera,2015,-1.1,history
spa_2016_mai_sumar,fjarfesting hins opinbera,2016,-0.5,forecast
spa_2016_mai_sumar,fjarfesting hins opinbera,2017,4.7,extrapolation
spa_2016_mai_sumar,fjarfesting hins opinbera,2018,3.1,extrapolation
spa_2016_mai_sumar,fjarfesting hins opinbera,2019,8.8,extrapolation
spa_2016_mai_sumar,fjarfesting hins opinbera,2020,3.7,extrapolation
