pdf_name,label_key,year,value,type
spa_2018_juni_sumar,verg landsframleidsla,2016,7.1,history
spa_2018_juni_sumar,verg landsframleidsla,2017,7.8,history
spa_2018_juni_sumar,verg landsframleidsla,2018,5.3,forecast
spa_2018_juni_sumar,verg landsframleidsla,2019,3.9,extrapolation
spa_2018_juni_sumar,verg landsframleidsla,2020,3.1,extrapolation
spa_2018_juni_sumar,verg landsframleidsla,2021,2.9,extrapolation
spa_2018_juni_sumar,verg landsframleidsla,2022,2.7,extrapolation
spa_2018_juni_sumar,verg landsframleidsla,2023,2.5,extrapolation
spa_2018_juni_sumar,samneysla,2016,2.3,history
spa_2018_juni_sumar,samneysla,2017,2.6,history
spa_2018_juni_sumar,samneysla,2018,2.5,forecast
spa_2018_juni_sumar,samneysla,2019,2.1,extrapolation
spa_2018_juni_sumar,samneysla,2020,1.9,extrapolation
spa_2018_juni_sumar,samneysla,2021,1.7,extrapolation
spa_2018_juni_sumar,samneysla,2022,1.9,extrapolation
spa_2018_juni_sumar,samneysla,2023,1.9,extrapolation
spa_2018_juni_sumar,fjarmunamyndun,2016,22.5,history
spa_2018_juni_sumar,fjarmunamyndun,2017,9.3,history
spa_2018_juni_sumar,fjarmunamyndun,2018,3.2,forecast
spa_2018_juni_sumar,fjarmunamyndun,2019,4.9,extrapolation
spa_2018_juni_sumar,fjarmunamyndun,2020,3.6,extrapolation
spa_2018_juni_sumar,fjarmunamyndun,2021,1.7,extrapolation
spa_2018_juni_sumar,fjarmunamyndun,2022,2.2,extrapolation
spa_2018_juni_sumar,fjarmunamyndun,2023,3.5,extrapolation
spa_2018_juni_sumar,atvinnuvegafjarfesting,2016,26.4,history
spa_2018_juni_sumar,atvinnuvegafjarfesting,2017,4.3,history
spa_2018_juni_sumar,atvinnuvegafjarfesting,2018,-1.9,forecast
spa_2018_juni_sumar,atvinnuvegafjarfesting,2019,3.1,extrapolation
spa_2018_juni_sumar,atvinnuvegafjarfesting,2020,1.7,extrapolation
spa_2018_juni_sumar,atvinnuvegafjarfesting,2021,-0.1,extrapolation
spa_2018_juni_sumar,atvinnuvegafjarfesting,2022,3.6,extrapolation
spa_2018_juni_sumar,atvinnuvegafjarfesting,2023,3.9,extrapolation
