pdf_name,label_key,year,value,type
spa_2019_februar_vetur_endurskodun,verg landsframleidsla,2017,7.9,history
spa_2019_februar_vetur_endurskodun,verg landsframleidsla,2018,4.8,history
spa_2019_februar_vetur_endurskodun,verg landsframleidsla,2019,3.6,forecast
spa_2019_februar_vetur_endurskodun,verg landsframleidsla,2020,2.9,extrapolation
spa_2019_februar_vetur_endurskodun,verg landsframleidsla,2021,2.8,extrapolation
spa_2019_februar_vetur_endurskodun,verg landsframleidsla,2022,2.6,extrapolation
spa_2019_februar_vetur_endurskodun,verg landsframleidsla,2024,2.6,extrapolation
spa_2019_februar_vetur_endurskodun,samneysla,2017,3.7,history
spa_2019_februar_vetur_endurskodun,samneysla,2018,3.4,history
spa_2019_februar_vetur_endurskodun,samneysla,2019,2.7,forecast
spa_2019_februar_vetur_endurskodun,samneysla,2020,1.8,extrapolation
spa_2019_februar_vetur_endurskodun,samneysla,2021,1.7,extrapolation
spa_2019_februar_vetur_endurskodun,samneysla,2022,1.9,extrapolation
spa_2019_februar_vetur_endurskodun,samneysla,2024,1.8,extrapolation
spa_2019_februar_vetur_endurskodun,fjarmunamyndun,2017,9.0,history
spa_2019_februar_vetur_endurskodun,fjarmunamyndun,2018,1.1,history
spa_2019_februar_vetur_endurskodun,fjarmunamyndun,2019,1.3,forecast
spa_2019_februar_vetur_endurskodun,fjarmunamyndun,2020,5.4,extrapolation
spa_2019_februar_vetur_endurskodun,fjarmunamyndun,2021,3.0,extrapolation
spa_2019_februar_vetur_endurskodun,fjarmunamyndun,2022,1.7,extrapolation
spa_2019_februar_vetur_endurskodun,fjarmunamyndun,2024,3.9,extrapolation
spa_2019_februar_vetur_endurskodun,atvinnuvegafjarfesting,2017,4.8,history
spa_2019_februar_vetur_endurskodun,atvinnuvegafjarfesting,2018,-3.4,history
spa_2019_februar_vetur_endurskodun,atvinnuvegafjarfesting,2019,-4.5,forecast
spa_2019_februar_vetur_endurskodun,atvinnuvegafjarfesting,2020,3.6,extrapolation
spa_2019_februar_vetur_endurskodun,atvinnuvegafjarfesting,2021,1.8,extrapolation
spa_2019_februar_vetur_endurskodun,atvinnuvegafjarfesting,2022,3.1,extrapolation
spa_2019_februar_vetur_endurskodun,atvinnuvegafjarfesting,2024,4.3,extrapolation
spa_2019_februar_vetur_endurskodun,fjarfesting i ibudarhusnaedi,2017,18.4,history
spa_2019_februar_vetur_endurskodun,fjarfesting i ibudarhusnaedi,2018,16.8,history
spa_2019_februar_vetur_endurskodun,fjarfesting i ibudarhusnaedi,2019,19.7,forecast
spa_2019_februar_vetur_endurskodun,fjarfesting i ibudarhusnaedi,2020,11.5,extrapolation
spa_2019_februar_vetur_endurskodun,fjarfesting i ibudarhusnaedi,2021,5.9,extrapolation
spa_2019_februar_vetur_endurskodun,fjarfesting i ibudarhusnaedi,2022,4.4,extrapolation
spa_2019_februar_vetur_endurskodun,fjarfesting i ibudarhusnaedi,2024,3.8,extrapolation
spa_2019_februar_vetur_endurskodun,fjarfesting hins opinbera,2017,23.0,history
spa_2019_februar_vetur_endurskodun,fjarfesting hins opinbera,2018,7.5,history
spa_2019_februar_vetur_endurskodun,fjarfesting hins opinbera,2019,11.7,forecast
spa_2019_februar_vetur_endurskodun,fjarfesting hins opinbera,2020,4.7,extrapolation
spa_2019_februar_vetur_endurskodun,fjarfesting hins opinbera,2021,3.8,extrapolation
spa_2019_februar_vetur_endurskodun,fjarfesting hins opinbera,2022,-8.7,extrapolation
spa_2019_februar_vetur_endurskodun,fjarfesting hins opinbera,2024,2.0,extrapolation
spa_2019_februar_vetur_endurskodun,thjodarutgjold alls,2017,7.0,history
spa_2019_februar_vetur_endurskodun,thjodarutgjold alls,2018,3.6,history
spa_2019_februar_vetur_endurskodun,thjodarutgjold alls,2019,2.9,forecast
spa_2019_februar_vetur_endurskodun,thjodarutgjold alls,2020,3.2,extrapolation
spa_2019_februar_vetur_endurskodun,thjodarutgjold alls,2021,2.6,extrapolation
spa_2019_februar_vetur_endurskodun,thjodarutgjold alls,2022,2.2,extrapolation
spa_2019_februar_vetur_endurskodun,thjodarutgjold alls,2024,2.7,extrapolation
spa_2019_februar_vetur_endurskodun,utflutningur voru og thjonustu,2017,5.5,history
spa_2019_februar_vetur_endurskodun,utflutningur voru og thjonustu,2018,2.6,history
spa_2019_februar_vetur_endurskodun,utflutningur voru og thjonustu,2019,1.6,forecast
spa_2019_februar_vetur_endurskodun,utflutningur voru og thjonustu,2020,2.4,extrapolation
spa_2019_februar_vetur_endurskodun,utflutningur voru og thjonustu,2021,2.7,extrapolation
spa_2019_februar_vetur_endurskodun,utflutningur voru og thjonustu,2022,2.8,extrapolation
spa_2019_februar_vetur_endurskodun,utflutningur voru og thjonustu,2024,2.5,extrapolation
spa_2019_februar_vetur_endurskodun,innflutningur voru og thjonustu,2017,12.5,history
spa_2019_februar_vetur_endurskodun,innflutningur voru og thjonustu,2018,1.5,history
spa_2019_februar_vetur_endurskodun,innflutningur voru og thjonustu,2019,4.2,forecast
spa_2019_februar_vetur_endurskodun,innflutningur voru og thjonustu,2020,3.2,extrapolation
spa_2019_februar_vetur_endurskodun,innflutningur voru og thjonustu,2021,2.5,extrapolation
spa_2019_februar_vetur_endurskodun,innflutningur voru og thjonustu,2022,2.1,extrapolation
spa_2019_februar_vetur_endurskodun,innflutningur voru og thjonustu,2024,2.7,extrapolation
spa_2019_februar_vetur_endurskodun,visitala neysluverds,2017,4.0,history
spa_2019_februar_vetur_endurskodun,visitala neysluverds,2018,4.1,history
spa_2019_februar_vetur_endurskodun,visitala neysluverds,2019,1.7,forecast
spa_2019_februar_vetur_endurskodun,visitala neysluverds,2020,2.8,extrapolation
spa_2019_februar_vetur_endurskodun,visitala neysluverds,2021,2.7,extrapolation
spa_2019_februar_vetur_endurskodun,visitala neysluverds,2022,2.6,extrapolation
spa_2019_februar_vetur_endurskodun,visitala neysluverds,2024,2.6,extrapolation
spa_2019_februar_vetur_endurskodun,voru- og thjonustujofnudur,2017,4.1,history
spa_2019_februar_vetur_endurskodun,voru- og thjonustujofnudur,2018,3.5,history
spa_2019_februar_vetur_endurskodun,voru- og thjonustujofnudur,2019,2.8,forecast
spa_2019_februar_vetur_endurskodun,voru- og thjonustujofnudur,2020,2.5,extrapolation
spa_2019_februar_vetur_endurskodun,voru- og thjonustujofnudur,2021,2.5,extrapolation
spa_2019_februar_vetur_endurskodun,voru- og thjonustujofnudur,2022,2.9,extrapolation
spa_2019_februar_vetur_endurskodun,voru- og thjonustujofnudur,2024,2.8,extrapolation
spa_2019_februar_vetur_endurskodun,vidskiptajofnudur,2017,3.3,history
spa_2019_februar_vetur_endurskodun,vidskiptajofnudur,2018,2.8,history
spa_2019_februar_vetur_endurskodun,vidskiptajofnudur,2019,1.9,forecast
spa_2019_februar_vetur_endurskodun,vidskiptajofnudur,2020,1.7,extrapolation
spa_2019_februar_vetur_endurskodun,vidskiptajofnudur,2021,1.8,extrapolation
spa_2019_februar_vetur_endurskodun,vidskiptajofnudur,2022,2.1,extrapolation
spa_2019_februar_vetur_endurskodun,vidskiptajofnudur,2024,2.1,extrapolation
spa_2019_februar_vetur_endurskodun,vlf a verdlagi hvers ars,2017,2.616,history
spa_2019_februar_vetur_endurskodun,vlf a verdlagi hvers ars,2018,2.813,history
spa_2019_februar_vetur_endurskodun,vlf a verdlagi hvers ars,2019,2.991,forecast
spa_2019_februar_vetur_endurskodun,vlf a verdlagi hvers ars,2020,3.182,extrapolation
spa_2019_februar_vetur_endurskodun,vlf a verdlagi hvers ars,2021,3.365,extrapolation
spa_2019_februar_vetur_endurskodun,vlf a verdlagi hvers ars,2022,3.549,extrapolation
spa_2019_februar_vetur_endurskodun,vlf a verdlagi hvers ars,2024,3.737,extrapolation
spa_2019_februar_vetur_endurskodun,einkaneysla,2017,1.8,history
spa_2019_februar_vetur_endurskodun,einkaneysla,2018,2.7,history
spa_2019_februar_vetur_endurskodun,einkaneysla,2019,3.8,forecast
spa_2019_februar_vetur_endurskodun,einkaneysla,2020,3.3,extrapolation
spa_2019_februar_vetur_endurskodun,einkaneysla,2021,2.9,extrapolation
spa_2019_februar_vetur_endurskodun,einkaneysla,2022,2.7,extrapolation
spa_2019_februar_vetur_endurskodun,einkaneysla,2024,2.6,extrapolation
spa_2019_februar_vetur_endurskodun,gengisvisitala,2017,-10.9,history
spa_2019_februar_vetur_endurskodun,gengisvisitala,2018,3.9,history
spa_2019_februar_vetur_endurskodun,gengisvisitala,2019,7.3,forecast
spa_2019_februar_vetur_endurskodun,gengisvisitala,2020,0.0,extrapolation
spa_2019_februar_vetur_endurskodun,gengisvisitala,2021,0.0,extrapolation
spa_2019_februar_vetur_endurskodun,gengisvisitala,2022,0.0,extrapolation
spa_2019_februar_vetur_endurskodun,gengisvisitala,2024,0.0,extrapolation
spa_2019_februar_vetur_endurskodun,raungengi,2017,11.9,history
spa_2019_februar_vetur_endurskodun,raungengi,2018,-2.9,history
spa_2019_februar_vetur_endurskodun,raungengi,2019,-5.3,forecast
spa_2019_februar_vetur_endurskodun,raungengi,2020,1.2,extrapolation
spa_2019_februar_vetur_endurskodun,raungengi,2021,0.8,extrapolation
spa_2019_februar_vetur_endurskodun,raungengi,2022,0.6,extrapolation
spa_2019_februar_vetur_endurskodun,raungengi,2024,0.4,extrapolation
spa_2019_februar_vetur_endurskodun,atvinnuleysi,2017,2.8,history
spa_2019_februar_vetur_endurskodun,atvinnuleysi,2018,2.7,history
spa_2019_februar_vetur_endurskodun,atvinnuleysi,2019,3.3,forecast
spa_2019_februar_vetur_endurskodun,atvinnuleysi,2020,3.6,extrapolation
spa_2019_februar_vetur_endurskodun,atvinnuleysi,2021,3.8,extrapolation
spa_2019_februar_vetur_endurskodun,atvinnuleysi,2022,4.0,extrapolation
spa_2019_februar_vetur_endurskodun,atvinnuleysi,2024,4.0,extrapolation
spa_2019_februar_vetur_endurskodun,launavisitala m.v. fast verdlag,2017,5.0,history
spa_2019_februar_vetur_endurskodun,launavisitala m.v. fast verdlag,2018,3.7,history
spa_2019_februar_vetur_endurskodun,launavisitala m.v. fast verdlag,2019,2.5,forecast
spa_2019_februar_vetur_endurskodun,launavisitala m.v. fast verdlag,2020,1.4,extrapolation
spa_2019_februar_vetur_endurskodun,launavisitala m.v. fast verdlag,2021,1.4,extrapolation
spa_2019_februar_vetur_endurskodun,launavisitala m.v. fast verdlag,2022,1.5,extrapolation
spa_2019_februar_vetur_endurskodun,launavisitala m.v. fast verdlag,2024,1.6,extrapolation
spa_2019_februar_vetur_endurskodun,hagvoxtur i helstu vidskiptalondum,2017,2.5,history
spa_2019_februar_vetur_endurskodun,hagvoxtur i helstu vidskiptalondum,2018,2.3,history
spa_2019_februar_vetur_endurskodun,hagvoxtur i helstu vidskiptalondum,2019,2.0,forecast
spa_2019_februar_vetur_endurskodun,hagvoxtur i helstu vidskiptalondum,2020,1.9,extrapolation
spa_2019_februar_vetur_endurskodun,hagvoxtur i helstu vidskiptalondum,2021,1.8,extrapolation
spa_2019_februar_vetur_endurskodun,hagvoxtur i helstu vidskiptalondum,2022,1.7,extrapolation
spa_2019_februar_vetur_endurskodun,hagvoxtur i helstu vidskiptalondum,2024,1.7,extrapolation
spa_2019_februar_vetur_endurskodun,althjodleg verdbolga,2017,1.7,history
spa_2019_februar_vetur_endurskodun,althjodleg verdbolga,2018,1.9,history
spa_2019_februar_vetur_endurskodun,althjodleg verdbolga,2019,1.9,forecast
spa_2019_februar_vetur_endurskodun,althjodleg verdbolga,2020,2.0,extrapolation
