pdf_name,label_key,year,value,type
spa_2019_november_vetur,einkaneysla,2018,4.7,history
spa_2019_november_vetur,einkaneysla,2019,1.8,forecast
spa_2019_november_vetur,einkaneysla,2020,2.4,extrapolation
spa_2019_november_vetur,einkaneysla,2021,2.7,extrapolation
spa_2019_november_vetur,einkaneysla,2022,2.6,extrapolation
spa_2019_november_vetur,einkaneysla,2023,2.6,extrapolation
spa_2019_november_vetur,einkaneysla,2024,2.5,extrapolation
spa_2019_november_vetur,einkaneysla,2025,2.5,extrapolation
spa_2019_november_vetur,samneysla,2018,3.5,history
spa_2019_november_vetur,samneysla,2019,2.5,forecast
spa_2019_november_vetur,samneysla,2020,2.4,extrapolation
spa_2019_november_vetur,samneysla,2021,1.6,extrapolation
spa_2019_november_vetur,samneysla,2022,1.8,extrapolation
spa_2019_november_vetur,samneysla,2023,2.4,extrapolation
spa_2019_november_vetur,samneysla,2024,2.5,extrapolation
spa_2019_november_vetur,samneysla,2025,2.5,extrapolation
spa_2019_november_vetur,fjarmunamyndun,2018,4.0,history
spa_2019_november_vetur,fjarmunamyndun,2019,-9.1,forecast
spa_2019_november_vetur,fjarmunamyndun,2020,3.7,extrapolation
spa_2019_november_vetur,fjarmunamyndun,2021,4.4,extrapolation
spa_2019_november_vetur,fjarmunamyndun,2022,2.7,extrapolation
spa_2019_november_vetur,fjarmunamyndun,2023,2.8,extrapolation
spa_2019_november_vetur,fjarmunamyndun,2024,2.9,extrapolation
spa_2019_november_vetur,fjarmunamyndun,2025,3.8,extrapolation
spa_2019_november_vetur,atvinnuvegafjarfesting,2018,-4.1,history
spa_2019_november_vetur,atvinnuvegafjarfesting,2019,-15.2,forecast
spa_2019_november_vetur,atvinnuvegafjarfesting,2020,3.5,extrapolation
spa_2019_november_vetur,atvinnuvegafjarfesting,2021,4.1,extrapolation
spa_2019_november_vetur,atvinnuvegafjarfesting,2022,3.3,extrapolation
spa_2019_november_vetur,atvinnuvegafjarfesting,2023,3.4,extrapolation
spa_2019_november_vetur,atvinnuvegafjarfesting,2024,4.4,extrapolation
spa_2019_november_vetur,atvinnuvegafjarfesting,2025,4.2,extrapolation
spa_2019_november_vetur,fjarfesting i ibudarhusnaedi,2018,16.2,history
spa_2019_november_vetur,fjarfesting i ibudarhusnaedi,2019,17.0,forecast
spa_2019_november_vetur,fjarfesting i ibudarhusnaedi,2020,7.8,extrapolation
spa_2019_november_vetur,fjarfesting i ibudarhusnaedi,2021,4.5,extrapolation
spa_2019_november_vetur,fjarfesting i ibudarhusnaedi,2022,5.0,extrapolation
spa_2019_november_vetur,fjarfesting i ibudarhusnaedi,2023,3.9,extrapolation
spa_2019_november_vetur,fjarfesting i ibudarhusnaedi,2024,3.4,extrapolation
spa_2019_november_vetur,fjarfesting i ibudarhusnaedi,2025,3.4,extrapolation
spa_2019_november_vetur,fjarfesting hins opinbera,2018,28.3,history
spa_2019_november_vetur,fjarfesting hins opinbera,2019,-11.5,forecast
spa_2019_november_vetur,fjarfesting hins opinbera,2020,4.5,extrapolation
spa_2019_november_vetur,fjarfesting hins opinbera,2021,7.5,extrapolation
spa_2019_november_vetur,fjarfesting hins opinbera,2022,-2.6,extrapolation
spa_2019_november_vetur,fjarfesting hins opinbera,2023,-1.2,extrapolation
spa_2019_november_vetur,fjarfesting hins opinbera,2024,-3.9,extrapolation
spa_2019_november_vetur,fjarfesting hins opinbera,2025,2.4,extrapolation
spa_2019_november_vetur,thjodarutgjold alls,2018,4.6,history
