pdf_name,label_key,year,value,type
spa_2020_oktober_vetur_haust,verg landsframleidsla,2019,1.3,history
spa_2020_oktober_vetur_haust,verg landsframleidsla,2020,-5.0,forecast
spa_2020_oktober_vetur_haust,verg landsframleidsla,2021,4.2,extrapolation
spa_2020_oktober_vetur_haust,verg landsframleidsla,2022,3.3,extrapolation
spa_2020_oktober_vetur_haust,verg landsframleidsla,2023,2.6,extrapolation
spa_2020_oktober_vetur_haust,verg landsframleidsla,2024,2.6,extrapolation
spa_2020_oktober_vetur_haust,verg landsframleidsla,2025,2.5,extrapolation
spa_2020_oktober_vetur_haust,verg landsframleidsla,2026,2.4,extrapolation
spa_2020_oktober_vetur_haust,samneysla,2019,4.2,history
spa_2020_oktober_vetur_haust,samneysla,2020,2.8,forecast
spa_2020_oktober_vetur_haust,samneysla,2021,1.8,extrapolation
spa_2020_oktober_vetur_haust,samneysla,2022,1.9,extrapolation
spa_2020_oktober_vetur_haust,samneysla,2023,1.8,extrapolation
spa_2020_oktober_vetur_haust,samneysla,2024,1.7,extrapolation
spa_2020_oktober_vetur_haust,samneysla,2025,1.8,extrapolation
spa_2020_oktober_vetur_haust,samneysla,2026,1.8,extrapolation
spa_2020_oktober_vetur_haust,fjarmunamyndun,2019,-6.6,history
spa_2020_oktober_vetur_haust,fjarmunamyndun,2020,-8.9,forecast
spa_2020_oktober_vetur_haust,fjarmunamyndun,2021,5.5,extrapolation
spa_2020_oktober_vetur_haust,fjarmunamyndun,2022,2.4,extrapolation
spa_2020_oktober_vetur_haust,fjarmunamyndun,2023,3.5,extrapolation
spa_2020_oktober_vetur_haust,fjarmunamyndun,2024,1.4,extrapolation
spa_2020_oktober_vetur_haust,fjarmunamyndun,2025,2.1,extrapolation
spa_2020_oktober_vetur_haust,fjarmunamyndun,2026,2.3,extrapolation
spa_2020_oktober_vetur_haust,atvinnuvegafjarfesting,2019,-18.0,history
spa_2020_oktober_vetur_haust,atvinnuvegafjarfesting,2020,-12.6,forecast
spa_2020_oktober_vetur_haust,atvinnuvegafjarfesting,2021,8.2,extrapolation
spa_2020_oktober_vetur_haust,atvinnuvegafjarfesting,2022,2.0,extrapolation
spa_2020_oktober_vetur_haust,atvinnuvegafjarfesting,2023,3.5,extrapolation
spa_2020_oktober_vetur_haust,atvinnuvegafjarfesting,2024,3.6,extrapolation
spa_2020_oktober_vetur_haust,atvinnuvegafjarfesting,2025,1.9,extrapolation
spa_2020_oktober_vetur_haust,atvinnuvegafjarfesting,2026,2.4,extrapolation
spa_2020_oktober_vetur_haust,fjarfesting i ibudarhusnaedi,2019,31.2,history
spa_2020_oktober_vetur_haust,fjarfesting i ibudarhusnaedi,2020,-14.4,forecast
spa_2020_oktober_vetur_haust,fjarfesting i ibudarhusnaedi,2021,-1.4,extrapolation
spa_2020_oktober_vetur_haust,fjarfesting i ibudarhusnaedi,2022,8.7,extrapolation
spa_2020_oktober_vetur_haust,fjarfesting i ibudarhusnaedi,2023,3.5,extrapolation
spa_2020_oktober_vetur_haust,fjarfesting i ibudarhusnaedi,2024,3.2,extrapolation
spa_2020_oktober_vetur_haust,fjarfesting i ibudarhusnaedi,2025,3.2,extrapolation
spa_2020_oktober_vetur_haust,fjarfesting i ibudarhusnaedi,2026,2.9,extrapolation
spa_2020_oktober_vetur_haust,fjarfesting hins opinbera,2019,-9.8,history
spa_2020_oktober_vetur_haust,fjarfesting hins opinbera,2020,15.8,forecast
spa_2020_oktober_vetur_haust,fjarfesting hins opinbera,2021,8.1,extrapolation
spa_2020_oktober_vetur_haust,fjarfesting hins opinbera,2022,-3.2,extrapolation
spa_2020_oktober_vetur_haust,fjarfesting hins opinbera,2023,3.6,extrapolation
spa_2020_oktober_vetur_haust,fjarfesting hins opinbera,2024,-7.1,extrapolation
spa_2020_oktober_vetur_haust,fjarfesting hins opinbera,2025,1.2,extrapolation
spa_2020_oktober_vetur_haust,fjarfesting hins opinbera,2026,1.2,extrapolation
spa_2020_oktober_vetur_haust,thjodarutgjold alls,2019,-0.2,history
spa_2020_oktober_vetur_haust,thjodarutgjold alls,2020,-3.6,forecast
spa_2020_oktober_vetur_haust,thjodarutgjold alls,2021,3.9,extrapolation
spa_2020_oktober_vetur_haust,thjodarutgjold alls,2022,2.8,extrapolation
spa_2020_oktober_vetur_haust,thjodarutgjold alls,2023,2.6,extrapolation
spa_2020_oktober_vetur_haust,thjodarutgjold alls,2024,2.1,extrapolation
spa_2020_oktober_vetur_haust,thjodarutgjold alls,2025,2.2,extrapolation
spa_2020_oktober_vetur_haust,thjodarutgjold alls,2026,2.2,extrapolation
spa_2020_oktober_vetur_haust,utflutningur voru og thjonustu,2019,-4.9,history
spa_2020_oktober_vetur_haust,utflutningur voru og thjonustu,2020,-30.0,forecast
spa_2020_oktober_vetur_haust,utflutningur voru og thjonustu,2021,17.1,extrapolation
spa_2020_oktober_vetur_haust,utflutningur voru og thjonustu,2022,8.6,extrapolation
spa_2020_oktober_vetur_haust,utflutningur voru og thjonustu,2023,6.7,extrapolation
spa_2020_oktober_vetur_haust,utflutningur voru og thjonustu,2024,5.2,extrapolation
spa_2020_oktober_vetur_haust,utflutningur voru og thjonustu,2025,3.6,extrapolation
