pdf_name,label_key,year,value,type
spa_2024_november_vetur_haust,verg landsframleidsla,2023,0.5,history
spa_2024_november_vetur_haust,verg landsframleidsla,2024,0.6,forecast
spa_2024_november_vetur_haust,verg landsframleidsla,2025,2.3,extrapolation
spa_2024_november_vetur_haust,verg landsframleidsla,2026,2.9,extrapolation
spa_2024_november_vetur_haust,verg landsframleidsla,2027,2.8,extrapolation
spa_2024_november_vetur_haust,verg landsframleidsla,2028,2.8,extrapolation
spa_2024_november_vetur_haust,verg landsframleidsla,2029,2.5,extrapolation
spa_2024_november_vetur_haust,verg landsframleidsla,2030,2.4,extrapolation
spa_2024_november_vetur_haust,samneysla,2023,1.8,history
spa_2024_november_vetur_haust,samneysla,2024,1.9,forecast
spa_2024_november_vetur_haust,samneysla,2025,0.9,extrapolation
spa_2024_november_vetur_haust,samneysla,2026,0.9,extrapolation
spa_2024_november_vetur_haust,samneysla,2027,1.0,extrapolation
spa_2024_november_vetur_haust,samneysla,2028,1.4,extrapolation
spa_2024_november_vetur_haust,samneysla,2029,1.3,extrapolation
spa_2024_november_vetur_haust,samneysla,2030,1.3,extrapolation
spa_2024_november_vetur_haust,fjarmunamyndun,2023,1.6,history
spa_2024_november_vetur_haust,fjarmunamyndun,2024,2.1,forecast
spa_2024_november_vetur_haust,fjarmunamyndun,2025,1.4,extrapolation
spa_2024_november_vetur_haust,fjarmunamyndun,2026,3.3,extrapolation
spa_2024_november_vetur_haust,fjarmunamyndun,2027,2.8,extrapolation
spa_2024_november_vetur_haust,fjarmunamyndun,2028,0.7,extrapolation
spa_2024_november_vetur_haust,fjarmunamyndun,2029,2.8,extrapolation
spa_2024_november_vetur_haust,fjarmunamyndun,2030,2.8,extrapolation
spa_2024_november_vetur_haust,atvinnuvegafjarfesting,2023,3.6,history
spa_2024_november_vetur_haust,atvinnuvegafjarfesting,2024,3.1,forecast
spa_2024_november_vetur_haust,atvinnuvegafjarfesting,2025,1.2,extrapolation
spa_2024_november_vetur_haust,atvinnuvegafjarfesting,2026,4.1,extrapolation
spa_2024_november_vetur_haust,atvinnuvegafjarfesting,2027,1.4,extrapolation
spa_2024_november_vetur_haust,atvinnuvegafjarfesting,2028,0.3,extrapolation
spa_2024_november_vetur_haust,atvinnuvegafjarfesting,2029,3.3,extrapolation
spa_2024_november_vetur_haust,atvinnuvegafjarfesting,2030,2.6,extrapolation
spa_2024_november_vetur_haust,fjarfesting i ibudarhusnaedi,2023,-2.3,history
spa_2024_november_vetur_haust,fjarfesting i ibudarhusnaedi,2024,5.4,forecast
spa_2024_november_vetur_haust,fjarfesting i ibudarhusnaedi,2025,2.0,extrapolation
spa_2024_november_vetur_haust,fjarfesting i ibudarhusnaedi,2026,3.4,extrapolation
spa_2024_november_vetur_haust,fjarfesting i ibudarhusnaedi,2027,5.7,extrapolation
spa_2024_november_vetur_haust,fjarfesting i ibudarhusnaedi,2028,4.6,extrapolation
spa_2024_november_vetur_haust,fjarfesting i ibudarhusnaedi,2029,4.1,extrapolation
spa_2024_november_vetur_haust,fjarfesting i ibudarhusnaedi,2030,4.0,extrapolation
spa_2024_november_vetur_haust,fjarfesting hins opinbera,2023,-1.2,history
spa_2024_november_vetur_haust,fjarfesting hins opinbera,2024,-5.5,forecast
spa_2024_november_vetur_haust,fjarfesting hins opinbera,2025,1.2,extrapolation
spa_2024_november_vetur_haust,fjarfesting hins opinbera,2026,-0.3,extrapolation
spa_2024_november_vetur_haust,fjarfesting hins opinbera,2027,4.8,extrapolation
spa_2024_november_vetur_haust,fjarfesting hins opinbera,2028,-2.8,extrapolation
spa_2024_november_vetur_haust,fjarfesting hins opinbera,2029,-1.5,extrapolation
spa_2024_november_vetur_haust,fjarfesting hins opinbera,2030,2.1,extrapolation
spa_2024_november_vetur_haust,thjodarutgjold alls,2023,1.6,history
spa_2024_november_vetur_haust,thjodarutgjold alls,2024,0.9,forecast
spa_2024_november_vetur_haust,thjodarutgjold alls,2025,1.7,extrapolation
spa_2024_november_vetur_haust,thjodarutgjold alls,2026,2.5,extrapolation
spa_2024_november_vetur_haust,thjodarutgjold alls,2027,2.3,extrapolation
spa_2024_november_vetur_haust,thjodarutgjold alls,2028,1.9,extrapolation
spa_2024_november_vetur_haust,thjodarutgjold alls,2029,2.3,extrapolation
spa_2024_november_vetur_haust,thjodarutgjold alls,2030,2.2,extrapolation
spa_2024_november_vetur_haust,utflutningur voru og thjonustu,2023,6.3,history
