pdf_name,label_key,year,value,type
spa_2025_juli_sumar,verg landsframleidsla,2024,0.8,history
spa_2025_juli_sumar,verg landsframleidsla,2025,3.1,forecast
spa_2025_juli_sumar,verg landsframleidsla,2026,2.9,extrapolation
spa_2025_juli_sumar,verg landsframleidsla,2027,2.8,extrapolation
spa_2025_juli_sumar,verg landsframleidsla,2028,2.8,extrapolation
spa_2025_juli_sumar,verg landsframleidsla,2029,2.7,extrapolation
spa_2025_juli_sumar,verg landsframleidsla,2030,2.5,extrapolation
spa_2025_juli_sumar,samneysla,2024,2.1,history
spa_2025_juli_sumar,samneysla,2025,1.6,forecast
spa_2025_juli_sumar,samneysla,2026,1.1,extrapolation
spa_2025_juli_sumar,samneysla,2027,0.8,extrapolation
spa_2025_juli_sumar,samneysla,2028,1.1,extrapolation
spa_2025_juli_sumar,samneysla,2029,1.1,extrapolation
spa_2025_juli_sumar,samneysla,2030,1.1,extrapolation
spa_2025_juli_sumar,fjarmunamyndun,2024,7.7,history
spa_2025_juli_sumar,fjarmunamyndun,2025,5.0,forecast
spa_2025_juli_sumar,fjarmunamyndun,2026,-4.5,extrapolation
spa_2025_juli_sumar,fjarmunamyndun,2027,3.9,extrapolation
spa_2025_juli_sumar,fjarmunamyndun,2028,2.1,extrapolation
spa_2025_juli_sumar,fjarmunamyndun,2029,2.3,extrapolation
spa_2025_juli_sumar,fjarmunamyndun,2030,3.5,extrapolation
spa_2025_juli_sumar,atvinnuvegafjarfesting,2024,7.0,history
spa_2025_juli_sumar,atvinnuvegafjarfesting,2025,6.9,forecast
spa_2025_juli_sumar,atvinnuvegafjarfesting,2026,-8.2,extrapolation
spa_2025_juli_sumar,atvinnuvegafjarfesting,2027,4.4,extrapolation
spa_2025_juli_sumar,atvinnuvegafjarfesting,2028,1.6,extrapolation
spa_2025_juli_sumar,atvinnuvegafjarfesting,2029,2.1,extrapolation
spa_2025_juli_sumar,atvinnuvegafjarfesting,2030,3.7,extrapolation
spa_2025_juli_sumar,fjarfesting i ibudarhusnaedi,2024,18.9,history
spa_2025_juli_sumar,fjarfesting i ibudarhusnaedi,2025,2.1,forecast
spa_2025_juli_sumar,fjarfesting i ibudarhusnaedi,2026,1.0,extrapolation
spa_2025_juli_sumar,fjarfesting i ibudarhusnaedi,2027,4.7,extrapolation
spa_2025_juli_sumar,fjarfesting i ibudarhusnaedi,2028,4.4,extrapolation
spa_2025_juli_sumar,fjarfesting i ibudarhusnaedi,2029,4.1,extrapolation
spa_2025_juli_sumar,fjarfesting i ibudarhusnaedi,2030,4.0,extrapolation
spa_2025_juli_sumar,fjarfesting hins opinbera,2024,-2.2,history
spa_2025_juli_sumar,fjarfesting hins opinbera,2025,0.5,forecast
spa_2025_juli_sumar,fjarfesting hins opinbera,2026,4.9,extrapolation
spa_2025_juli_sumar,fjarfesting hins opinbera,2027,0.8,extrapolation
spa_2025_juli_sumar,fjarfesting hins opinbera,2028,1.1,extrapolation
spa_2025_juli_sumar,fjarfesting hins opinbera,2029,0.4,extrapolation
spa_2025_juli_sumar,fjarfesting hins opinbera,2030,1.6,extrapolation
spa_2025_juli_sumar,thjodarutgjold alls,2024,1.8,history
spa_2025_juli_sumar,thjodarutgjold alls,2025,3.3,forecast
spa_2025_juli_sumar,thjodarutgjold alls,2026,0.5,extrapolation
spa_2025_juli_sumar,thjodarutgjold alls,2027,2.7,extrapolation
spa_2025_juli_sumar,thjodarutgjold alls,2028,2.2,extrapolation
spa_2025_juli_sumar,thjodarutgjold alls,2029,2.2,extrapolation
spa_2025_juli_sumar,thjodarutgjold alls,2030,2.4,extrapolation
spa_2025_juli_sumar,utflutningur voru og thjonustu,2024,-2.3,history
spa_2025_juli_sumar,utflutningur voru og thjonustu,2025,2.9,forecast
spa_2025_juli_sumar,utflutningur voru og thjonustu,2026,2.5,extrapolation
spa_2025_juli_sumar,utflutningur voru og thjonustu,2027,3.2,extrapolation
spa_2025_juli_sumar,utflutningur voru og thjonustu,2028,2.6,extrapolation
spa_2025_juli_sumar,utflutningur voru og thjonustu,2029,2.3,extrapolation
spa_2025_juli_sumar,utflutningur voru og thjonustu,2030,2.1,extrapolation
spa_2025_juli_sumar,innflutningur voru og thjonustu,2024,3.3,history
spa_2025_juli_sumar,innflutningur voru og thjonustu,2025,5.5,forecast
spa_2025_juli_sumar,innflutningur voru og thjonustu,2026,-2.4,extrapolation
spa_2025_juli_sumar,innflutningur voru og thjonustu,2027,2.8,extrapolation
spa_2025_juli_sumar,innflutningur voru og thjonustu,2028,1.9,extrapolation
spa_2025_juli_sumar,innflutningur voru og thjonustu,2029,2.1,extrapolation
spa_2025_juli_sumar,innflutningur voru og thjonustu,2030,2.0,extrapolation
spa_2025_juli_sumar,visitala neysluverds,2024,-0.7,history
spa_2025_juli_sumar,visitala neysluverds,2025,2.2,forecast
spa_2025_juli_sumar,visitala neysluverds,2026,2.5,extrapolation
spa_2025_juli_sumar,visitala neysluverds,2027,2.8,extrapolation
spa_2025_juli_sumar,visitala neysluverds,2028,2.5,extrapolation
