0,1,2,3,4,5,6,7,8,9,10
Tafla 1. Landsfram,le,iðsla 2024–20,30,,,,,,,
Table 1. Gross dom,e,stic product 20,24–2030,,,,,,,
,,,,,,,,,,
,,,,,,,,Framr,eikningur,
,,,,,,,,Extra,polation,
Magnbreyting frá fyrra á,r,i (%),,,,,,,,
Volume growth from pr,ev,ious year (%),,2024¹,2025,2026,2027,2028,2029,2030
,,,,,,,,,,
Einkaneysla Private fina,l,consumption,,"0,8","3,1","2,9","2,8","2,8","2,7","2,5"
Samneysla Government,f,inal consumptio,n,"2,1","1,6","1,1","0,8","1,1","1,1","1,1"
Fjármunamyndun Gros,s,fixed capital for,mation,"7,7","5,0","-4,5","3,9","2,1","2,3","3,5"
Atvinnuvegafjárfesting,,Business investm,ent,"7,0","6,9","-8,2","4,4","1,6","2,1","3,7"
Fjárfesting í íbúðarhús,n,æði Housing inv,estment,"18,9","2,1","1,0","4,7","4,4","4,1","4,0"
Fjárfesting hins opinbe,r,a Public investm,ent,"-2,2","0,5","4,9","0,8","1,1","0,4","1,6"
Þjóðarútgjöld alls Natio,n,al final expendit,ure,"1,8","3,3","0,5","2,7","2,2","2,2","2,4"
Útflutningur vöru og þjó,n,ustu Exports of,goods and services,"-2,3","2,9","2,5","3,2","2,6","2,3","2,1"
Innflutningur vöru og þj,ó,nustu Import of,goods and services,"3,3","5,5","-2,4","2,8","1,9","2,1","2,0"
Verg landsframleiðsla G,r,oss domestic pro,duct,"-0,7","2,2","2,5","2,8","2,5","2,3","2,5"
Vöru- og þjónustujöfnuð,u,r (% af VLF),,,,,,,,
Goods and services bala,n,ce (% of GDP),,"-0,8","-1,4","0,4","0,7","1,0","1,2","1,3"
Viðskiptajöfnuður (% af,V,LF),,,,,,,,
Current account balance,,(% of GDP),,"-2,7","-2,4","-0,5","-0,3","-0,1","0,1","0,2"
,,,,,,,,,,
"VLF á verðlagi hvers árs,",,ma. kr. Nominal,"GDP, billion ISK",4.598,4.971,5.249,5.550,5.843,6.143,6.465
Vísitala neysluverðs Co,ns,umer price inde,x,"5,9","3,8","3,2","2,6","2,5","2,5","2,5"
Gengisvísitala Exchange,,rate index,,"0,0","-2,8","0,0","0,0","0,0","0,0","0,0"
Raungengi Real exchan,g,e rate,,"3,3","3,9","1,6","0,6","0,4","0,5","0,4"
Atvinnuleysi (% af vinnu,a,fli),,"3,4","4,0","4,1","4,0","4,0","4,0","4,0"
Unemployment rate (%,o,f labour force),,,,,,,,
Launavísitala m.v. fast v,e,rðlag Real wage,rate index,"0,7","2,8","1,0","1,4","1,6","1,6","1,6"
Hagvöxtur í helstu viðsk,ip,talöndum,,,,,,,,
GDP growth in main tra,di,ng partners,,"1,5","1,4","1,5","1,7","1,6","1,5","1,5"
Alþjóðleg verðbólga Wo,r,ld CPI inflation,,"2,5","2,4","2,1","2,0","2,0","2,0","2,0"
Verð útflutts áls Export,p,rice of aluminum,,"2,8","2,1","1,1","1,6","1,2","1,3","1,2"
Olíuverð Oil price,,,,"-1,4","-12,3","-3,4","1,5","1,6","1,1","0,4"
,,,,,,,,,,
1 Bráðabirgðatölur. Preliminary fig,u,res.,,,,,,,,
