0,1,2,3,4,5,6,7,8,9,10
Tafla 1. Landsfram,le,iðsla 2024–20,30,,,,,,,
Table 1. Gross dom,e,stic product 20,24–2030,,,,,,,
,,,,,,,,,,
,,,,,,,,Framr,eikningu,r
,,,,,,,,Extra,polation,
Magnbreyting frá fyrra á,r,i (%),,,,,,,,
Volume growth from pr,ev,ious year (%),,2024¹,2025,2026,2027,2028,2029,2030
,,,,,,,,,,
Einkaneysla Private fina,l,consumption,,"0,6","2,4","2,9","2,8","2,8","2,7","2,5"
Samneysla Government,f,inal consumptio,n,"2,5","1,4","1,2","0,8","1,1","1,1","1,1"
Fjármunamyndun Gros,s,fixed capital for,mation,"7,5","4,6","-4,0","2,9","2,8","2,2","2,8"
Atvinnuvegafjárfesting,,Business investm,ent,"6,7","8,7","-7,4","2,7","2,6","2,0","2,7"
Fjárfesting í íbúðarhús,n,æði Housing inv,estment,"18,0","-3,8","1,6","5,2","4,6","4,2","4,2"
Fjárfesting hins opinbe,r,a Public investm,ent,"-1,4","-2,7","5,1","0,8","1,1","0,4","1,6"
Þjóðarútgjöld alls Natio,n,al final expendit,ure,"2,3","2,8","0,6","2,3","2,4","2,2","2,2"
Útflutningur vöru og þjó,n,ustu Exports of,goods and services,"-1,2","4,0","2,5","3,0","2,6","2,3","2,1"
Innflutningur vöru og þj,ó,nustu Import of,goods and services,"2,7","6,4","-2,4","1,9","2,1","1,9","1,6"
Verg landsframleiðsla G,r,oss domestic pro,duct,"0,5","1,8","2,7","2,8","2,6","2,3","2,4"
Vöru- og þjónustujöfnuð,u,r (% af VLF),,"-1,1","-2,1","0,0","0,3","0,5","0,7","1,0"
Goods and services bala,n,ce (% of GDP),,,,,,,,
Viðskiptajöfnuður (% af,V,LF),,"-2,5","-3,0","-0,9","-0,6","-0,4","-0,2","0,1"
Current account balance,,(% of GDP),,,,,,,,
,,,,,,,,,,
"VLF á verðlagi hvers árs,",,ma. kr. Nominal,"GDP, billion ISK",4.616,4.866,5.139,5.425,5.713,6.009,6.323
Vísitala neysluverðs Co,ns,umer price inde,x,"5,9","3,5","2,7","2,5","2,5","2,5","2,5"
Gengisvísitala Exchange,,rate index,,"0,0","-0,8","0,0","0,0","0,0","0,0","0,0"
Raungengi Real exchan,g,e rate,,"3,3","2,2","0,7","0,5","0,5","0,5","0,5"
Atvinnuleysi (% af vinnu,a,fli),,"3,4","4,0","4,1","4,0","4,0","4,0","4,0"
Unemployment rate (%,o,f labour force),,,,,,,,
Launavísitala m.v. fast v,e,rðlag Real wage,rate index,"0,7","2,7","1,7","1,5","1,5","1,6","1,6"
Hagvöxtur í helstu viðsk,ip,talöndum,,,,,,,,
GDP growth in main tra,di,ng partners,,"1,5","1,8","1,8","1,6","1,6","1,5","1,5"
Alþjóðleg verðbólga Wo,r,ld CPI inflation,,"2,5","2,0","1,9","2,0","2,0","2,0","1,9"
Verð útflutts áls Export,p,rice of aluminum,,"2,8","6,4","0,5","0,1","0,3","0,2","0,4"
Olíuverð Oil price,,,,"-2,9","-7,7","-5,4","-1,3","-0,1","0,0","0,0"
,,,,,,,,,,
1 Bráðabirgðatölur. Preliminary fig,u,res.,,,,,,,,
